Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"20.000%","16","False","10","11"
"18.182%","24","False","11","13"
"66.667%","0","True","8","11"
"20.000%","2","False","5","11"
"45.455%","4","False","11","15"
"25.000%","12","False","12","14"
"12.500%","8","False","8","6"
"45.455%","0","True","11","15"
"28.571%","0","True","14","11"
"17.647%","90","False","17","14"
"69.231%","2","False","13","16"
"30.000%","9","False","10","8"
"0.000%","50","False","12","16"
"100.000%","0","True","8","10"
"100.000%","0","True","8","7"
"43.750%","0","True","16","8"
"100.000%","0","True","15","11"
"60.000%","0","True","16","12"
"0.000%","36","False","13","15"
"40.000%","0","True","15","11"
"100.000%","0","True","15","11"
"16.667%","3","False","6","9"
"18.182%","24","False","11","8"
"16.667%","20","False","12","10"
"100.000%","0","True","11","8"
"100.000%","0","True","10","10"
"0.000%","72","False","13","11"
"0.000%","24","False","9","12"
"26.667%","36","False","15","5"
"0.000%","24","False","10","6"
"100.000%","0","True","13","15"
"90.909%","0","True","16","11"
"0.000%","60","False","13","12"
"14.286%","60","False","14","10"
"0.000%","4","False","5","14"
"33.333%","16","False","12","11"
"62.500%","1","False","8","11"
"45.455%","0","True","11","11"
"100.000%","0","True","11","13"
"0.000%","96","False","14","9"
"28.571%","20","False","14","8"
"23.077%","32","False","13","8"
"50.000%","3","False","10","6"
"37.500%","4","False","8","15"
"100.000%","0","True","6","9"
"100.000%","0","True","12","7"
"18.182%","20","False","11","15"
"33.333%","6","False","9","13"
"46.667%","12","False","15","11"
"100.000%","0","True","10","8"
"100.000%","0","True","14","14"
"53.333%","5","False","15","7"
"100.000%","0","True","5","14"
"10.000%","15","False","10","11"
"37.500%","0","True","8","9"
"0.000%","1","False","3","14"
"37.500%","20","False","16","14"
"61.538%","0","True","13","13"
"20.000%","2","False","5","10"
"55.556%","0","True","9","10"
"46.154%","0","True","13","10"
"0.000%","40","False","11","12"
"22.222%","0","True","9","13"
"66.667%","0","True","17","8"
"100.000%","0","True","9","14"
"42.857%","0","True","14","14"
"90.909%","0","True","17","4"
"12.500%","8","False","8","12"
"0.000%","12","False","9","9"
"0.000%","24","False","10","15"
"0.000%","10","False","8","13"
"6.250%","120","False","16","3"
"62.500%","1","False","8","11"
"0.000%","72","False","14","14"
"0.000%","90","False","14","7"
"100.000%","0","True","9","13"
"100.000%","0","True","9","12"
"83.333%","0","True","18","8"
"100.000%","0","True","12","10"
"6.667%","90","False","15","14"
"64.286%","0","True","14","13"
"100.000%","0","True","9","18"
"100.000%","0","True","8","15"
"100.000%","0","True","12","10"
"0.000%","96","False","14","16"
"0.000%","5","False","7","11"
"75.000%","0","True","12","16"
"16.667%","0","True","8","9"
"100.000%","0","True","9","12"
"30.000%","5","False","10","13"
"25.000%","0","True","7","15"
"25.000%","0","True","8","11"
"58.333%","3","False","12","9"
"20.000%","12","False","10","12"
"50.000%","0","True","12","11"
"35.714%","24","False","14","13"
"38.462%","18","False","13","9"
"11.111%","10","False","9","13"
"55.556%","0","True","11","17"
"0.000%","18","False","8","14"
"100.000%","0","True","10","14"
"23.077%","36","False","13","13"
"8.333%","40","False","12","8"
"0.000%","60","False","13","8"
"100.000%","0","True","8","13"
"28.571%","0","True","12","10"
"100.000%","0","True","12","11"
"7.143%","80","False","14","5"
"37.500%","0","True","10","14"
"33.333%","0","True","12","10"
"20.000%","60","False","15","12"
"55.556%","2","False","9","12"
"8.333%","24","False","12","10"
"18.182%","16","False","11","8"
"100.000%","0","True","9","15"
"60.000%","0","True","6","13"
"12.500%","0","True","8","17"
"100.000%","0","True","11","15"
"0.000%","90","False","14","10"
"12.500%","5","False","8","18"
"44.444%","3","False","9","8"
"71.429%","2","False","14","12"
"11.111%","6","False","9","7"
"37.500%","0","True","13","9"
"52.941%","6","False","17","14"
"100.000%","0","True","11","16"
"38.462%","18","False","13","11"
"6.667%","100","False","15","16"
"21.429%","36","False","14","8"
"50.000%","0","True","8","9"
"100.000%","0","True","11","14"
"100.000%","0","True","10","9"
"6.667%","96","False","15","8"
"100.000%","0","True","8","12"
"50.000%","0","True","14","15"
"100.000%","0","True","11","9"
"6.250%","120","False","16","12"
"9.091%","20","False","11","11"
"8.333%","48","False","12","12"
"8.333%","24","False","12","16"
"75.000%","0","True","14","11"
"100.000%","0","True","11","12"
"88.889%","0","True","11","10"
"85.714%","0","True","9","7"
"12.500%","96","False","16","13"
"0.000%","36","False","10","9"
"25.000%","4","False","8","8"
"0.000%","10","False","8","16"
"0.000%","10","False","8","7"
"100.000%","0","True","9","9"
"83.333%","0","True","8","14"
"100.000%","0","True","12","6"
"85.714%","0","True","14","14"
"0.000%","12","False","8","16"
"12.500%","90","False","16","13"
"40.000%","0","True","16","10"
"55.556%","0","True","11","10"
"55.556%","0","True","14","12"
"100.000%","0","True","9","13"
"100.000%","0","True","9","13"
"55.556%","0","True","13","8"
"100.000%","0","True","8","10"
"100.000%","0","True","11","12"
"9.091%","24","False","11","6"
"40.000%","0","True","10","10"
"11.111%","10","False","9","11"
"100.000%","0","True","11","13"
"33.333%","0","True","14","9"
"90.000%","0","True","13","15"
"100.000%","0","True","5","14"
"8.333%","25","False","12","12"
"27.273%","10","False","11","9"
"33.333%","4","False","9","13"
"100.000%","0","True","16","12"
"0.000%","15","False","9","13"
"64.286%","0","True","14","11"
"66.667%","0","True","10","5"
"25.000%","0","True","8","5"
"62.500%","0","True","14","11"
"100.000%","0","True","18","15"
"0.000%","24","False","9","8"
"60.000%","0","True","10","11"
"11.111%","0","True","9","13"
"100.000%","0","True","12","11"
"35.714%","16","False","14","10"
"0.000%","60","False","12","16"
"41.667%","0","True","12","15"
"100.000%","0","True","5","6"
"42.857%","6","False","14","9"
"0.000%","36","False","13","8"
"100.000%","0","True","14","13"
"0.000%","48","False","11","13"
"0.000%","72","False","13","12"
"100.000%","0","True","10","14"
"55.556%","2","False","9","11"
"100.000%","0","True","14","11"
"100.000%","0","True","11","11"
"62.500%","1","False","8","9"
"0.000%","12","False","9","8"
"100.000%","0","True","9","10"
"8.333%","25","False","12","13"
"0.000%","50","False","12","7"
"72.727%","0","True","11","7"
"0.000%","32","False","10","15"
"33.333%","12","False","12","10"
"0.000%","6","False","8","17"
"50.000%","0","True","5","11"
"0.000%","40","False","11","17"
"11.111%","10","False","9","9"
"100.000%","0","True","11","8"
"81.818%","0","True","11","8"
"0.000%","48","False","12","7"
"40.000%","4","False","10","12"
"26.667%","36","False","15","12"
"53.333%","9","False","15","11"
"8.333%","24","False","12","8"
"100.000%","0","True","11","13"
"41.667%","8","False","12","11"
"25.000%","0","True","4","11"
"0.000%","12","False","7","15"
"21.429%","0","True","14","12"
"7.692%","54","False","13","9"
"23.077%","30","False","13","5"
"23.077%","20","False","13","12"
"100.000%","0","True","11","9"
"45.455%","0","True","11","10"
"14.286%","4","False","7","8"
"38.462%","12","False","13","17"
"58.333%","0","True","14","10"
"0.000%","8","False","7","11"
"66.667%","0","True","11","14"
"9.091%","18","False","11","14"
"33.333%","18","False","15","14"
"12.500%","8","False","8","10"
"66.667%","0","True","9","9"
"40.000%","0","True","10","10"
"45.455%","0","True","11","9"
"100.000%","0","True","15","8"
"100.000%","0","True","14","10"
"30.769%","15","False","13","14"
"36.364%","5","False","11","9"
"0.000%","60","False","12","12"
"100.000%","0","True","8","11"
"50.000%","0","True","10","12"
"0.000%","30","False","12","9"
"0.000%","36","False","10","8"
"75.000%","1","False","12","13"
"100.000%","0","True","10","8"
"50.000%","0","True","14","12"
"37.500%","0","True","13","10"
"36.364%","12","False","11","9"
"23.077%","32","False","13","12"
"7.143%","60","False","14","4"
"33.333%","0","True","12","10"
"6.667%","96","False","15","13"
"100.000%","0","True","12","13"
"33.333%","0","True","9","15"
"62.500%","0","True","11","11"
"30.769%","12","False","13","13"
"100.000%","0","True","11","11"
"20.000%","12","False","10","13"
"40.000%","0","True","8","12"
"14.286%","6","False","7","9"
"75.000%","1","False","12","18"
"42.857%","0","True","7","9"
"100.000%","0","True","5","17"
"11.111%","6","False","9","7"
"42.857%","0","True","12","13"
"57.143%","6","False","14","13"
"0.000%","60","False","12","9"
"12.500%","0","True","8","7"
"5.882%","150","False","17","15"
"40.000%","0","True","12","8"
"100.000%","0","True","5","12"
"53.846%","4","False","13","10"
"41.176%","20","False","17","13"
"25.000%","0","True","6","12"
"100.000%","0","True","5","15"
"66.667%","0","True","12","13"
"36.364%","0","True","11","9"
"10.000%","24","False","10","11"
"100.000%","0","True","13","10"
"18.182%","15","False","11","11"
"38.462%","0","True","13","13"
"100.000%","0","True","10","14"
"16.667%","36","False","12","9"
"76.923%","1","False","13","7"
"20.000%","0","True","10","11"
"25.000%","15","False","12","9"
"52.941%","10","False","17","9"
"50.000%","4","False","10","11"
"28.571%","32","False","14","13"
"0.000%","18","False","10","10"
"33.333%","10","False","12","11"
"100.000%","0","True","11","13"
"61.538%","4","False","13","12"
"0.000%","12","False","7","15"
"53.333%","0","True","15","13"
"0.000%","16","False","8","9"
"40.000%","0","True","11","11"
"50.000%","0","True","7","15"
"14.286%","4","False","7","11"
