Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"50.000%","0","True","8","7"
"75.000%","0","True","8","12"
"100.000%","0","True","10","11"
"100.000%","0","True","12","11"
"20.000%","12","False","10","15"
"11.111%","18","False","18","12"
"25.000%","3","False","4","10"
"15.385%","12","False","13","10"
"75.000%","0","True","7","5"
"57.143%","0","True","14","12"
"20.000%","0","True","8","10"
"11.111%","0","True","9","8"
"0.000%","15","False","12","7"
"0.000%","9","False","11","14"
"100.000%","0","True","9","13"
"50.000%","0","True","18","9"
"66.667%","0","True","9","11"
"18.750%","18","False","16","5"
"100.000%","0","True","15","9"
"46.154%","0","True","13","8"
"8.333%","12","False","12","12"
"83.333%","0","True","7","10"
"50.000%","0","True","4","9"
"100.000%","0","True","14","8"
"100.000%","0","True","10","12"
"100.000%","0","True","5","11"
"75.000%","0","True","9","9"
"50.000%","0","True","10","12"
"100.000%","0","True","13","12"
"0.000%","9","False","5","6"
"0.000%","3","False","10","12"
"25.000%","6","False","8","9"
"40.000%","9","False","15","8"
"100.000%","0","True","13","15"
"50.000%","3","False","6","5"
"100.000%","0","True","14","6"
"100.000%","0","True","8","12"
"38.462%","0","True","13","10"
"0.000%","12","False","8","8"
"20.000%","0","True","7","13"
"100.000%","0","True","14","10"
"100.000%","0","True","12","8"
"60.000%","0","True","15","9"
"0.000%","9","False","5","4"
"0.000%","18","False","9","8"
"100.000%","0","True","6","14"
"54.545%","0","True","14","8"
"100.000%","0","True","11","15"
"22.222%","0","True","9","7"
"50.000%","0","True","6","13"
"28.571%","3","False","14","10"
"28.571%","12","False","14","13"
"100.000%","0","True","13","15"
"0.000%","9","False","9","10"
"9.091%","12","False","11","12"
"0.000%","15","False","12","13"
"0.000%","3","False","8","15"
"0.000%","9","False","11","9"
"0.000%","15","False","15","14"
"85.714%","0","True","13","8"
"37.500%","3","False","8","14"
"75.000%","0","True","5","17"
"27.273%","6","False","11","4"
"5.882%","15","False","17","13"
"0.000%","3","False","4","12"
"0.000%","12","False","10","14"
"16.667%","0","True","6","7"
"25.000%","0","True","8","6"
"7.692%","9","False","13","11"
"100.000%","0","True","13","13"
"33.333%","0","True","9","13"
"50.000%","3","False","12","12"
"42.857%","0","True","14","8"
"7.692%","12","False","13","11"
"20.000%","3","False","5","13"
