Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"35.294%","0","True","17","16"
"0.000%","30","False","10","10"
"100.000%","0","True","10","9"
"16.667%","0","True","12","13"
"100.000%","0","True","15","11"
"0.000%","30","False","12","10"
"0.000%","54","False","12","6"
"0.000%","25","False","11","8"
"0.000%","180","False","17","7"
"20.000%","0","True","10","8"
"41.667%","0","True","12","11"
"44.444%","0","True","12","4"
"100.000%","0","True","13","10"
"0.000%","60","False","12","10"
"0.000%","10","False","8","11"
"0.000%","24","False","9","9"
"100.000%","0","True","7","6"
"100.000%","0","True","10","13"
"30.000%","0","True","10","10"
"0.000%","30","False","12","14"
"40.000%","0","True","10","17"
"0.000%","12","False","9","11"
"85.714%","0","True","9","13"
"20.000%","0","True","10","12"
"14.286%","0","True","7","9"
"50.000%","0","True","8","9"
"100.000%","0","True","18","12"
"14.286%","0","True","13","11"
"50.000%","0","True","12","13"
"20.000%","0","True","5","9"
"100.000%","0","True","16","11"
"0.000%","6","False","8","8"
"0.000%","4","False","5","9"
"0.000%","20","False","10","6"
"0.000%","10","False","8","6"
"0.000%","54","False","12","6"
"0.000%","60","False","12","12"
"0.000%","60","False","13","6"
"66.667%","0","True","10","9"
"0.000%","90","False","14","9"
"0.000%","18","False","10","9"
"0.000%","3","False","5","16"
"0.000%","120","False","15","13"
"100.000%","0","True","6","11"
"0.000%","120","False","15","15"
"0.000%","48","False","12","8"
"100.000%","0","True","8","9"
"0.000%","72","False","13","7"
"83.333%","0","True","7","5"
"75.000%","0","True","10","8"
"100.000%","0","True","13","12"
"40.000%","0","True","9","18"
"0.000%","30","False","10","8"
"0.000%","25","False","11","6"
"100.000%","0","True","16","11"
"0.000%","20","False","10","12"
"80.000%","0","True","9","17"
"0.000%","72","False","13","10"
"0.000%","16","False","8","10"
"15.385%","0","True","13","12"
"0.000%","10","False","8","11"
"100.000%","0","True","14","18"
"0.000%","30","False","12","11"
"50.000%","0","True","5","16"
"33.333%","0","True","9","9"
"0.000%","6","False","6","13"
"35.714%","0","True","14","11"
"55.556%","0","True","12","10"
"0.000%","60","False","12","10"
"100.000%","0","True","10","18"
"0.000%","24","False","9","14"
"0.000%","6","False","6","12"
"28.571%","0","True","13","11"
"40.000%","0","True","9","6"
"0.000%","12","False","8","10"
"71.429%","0","True","12","10"
"100.000%","0","True","9","14"
"62.500%","0","True","11","10"
"42.857%","0","True","11","11"
"16.667%","0","True","8","10"
"46.154%","0","True","13","12"
"33.333%","0","True","12","15"
"0.000%","16","False","8","3"
"12.500%","0","True","8","11"
"0.000%","24","False","10","14"
"66.667%","0","True","7","10"
"0.000%","72","False","14","14"
