Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"33.333%","0","True","9","9"
"20.000%","1296","False","15","15"
"40.000%","405","False","15","13"
"0.000%","3240","False","15","7"
"7.692%","1620","False","13","13"
"52.941%","0","True","17","7"
"56.250%","135","False","16","11"
"50.000%","216","False","14","8"
"37.500%","0","True","14","13"
"71.429%","0","True","13","9"
"0.000%","675","False","11","9"
"100.000%","0","True","11","10"
"33.333%","0","True","11","10"
"100.000%","0","True","12","11"
"80.000%","0","True","16","12"
"75.000%","0","True","7","12"
"0.000%","648","False","10","8"
"83.333%","0","True","12","6"
"53.846%","108","False","13","12"
"33.333%","0","True","11","12"
"50.000%","0","True","12","12"
"33.333%","216","False","9","12"
"55.556%","0","True","12","11"
"23.529%","1620","False","17","12"
"100.000%","0","True","15","15"
"33.333%","486","False","15","14"
"25.000%","162","False","8","8"
"0.000%","972","False","11","8"
"50.000%","0","True","8","11"
"42.857%","0","True","7","14"
"50.000%","0","True","9","12"
"15.385%","1080","False","13","17"
"30.769%","432","False","13","13"
"83.333%","0","True","9","14"
"100.000%","0","True","12","17"
"60.000%","0","True","11","12"
"41.667%","216","False","12","13"
"100.000%","0","True","11","13"
"44.444%","81","False","9","11"
"0.000%","216","False","7","12"
"25.000%","405","False","12","10"
"60.000%","0","True","10","9"
"26.667%","1080","False","15","13"
"37.500%","540","False","16","12"
"100.000%","0","True","9","5"
"0.000%","162","False","6","3"
"0.000%","4050","False","16","7"
"100.000%","0","True","13","12"
"23.077%","0","True","13","6"
"42.857%","324","False","14","16"
"33.333%","0","True","7","13"
"38.462%","270","False","13","13"
"22.222%","135","False","9","11"
"15.385%","675","False","13","8"
"7.692%","810","False","13","10"
"0.000%","216","False","7","12"
"71.429%","0","True","11","11"
"61.538%","0","True","13","14"
"0.000%","486","False","10","12"
"0.000%","2025","False","13","13"
"44.444%","0","True","11","7"
"100.000%","0","True","8","9"
"44.444%","81","False","9","4"
"31.250%","648","False","16","7"
"50.000%","0","True","6","12"
"100.000%","0","True","8","13"
"12.500%","324","False","8","14"
"0.000%","432","False","8","15"
"20.000%","270","False","10","4"
"22.222%","324","False","9","13"
"14.286%","1296","False","14","12"
"50.000%","0","True","11","6"
"20.000%","0","True","10","8"
"57.143%","162","False","14","14"
"46.154%","0","True","13","8"
"6.667%","2592","False","15","6"
"81.818%","0","True","11","7"
"0.000%","162","False","6","17"
"33.333%","108","False","9","11"
"7.692%","810","False","13","8"
"33.333%","864","False","15","9"
"40.000%","0","True","11","13"
"30.769%","405","False","13","9"
"0.000%","675","False","11","10"
"100.000%","0","True","13","11"
"37.500%","0","True","13","12"
"100.000%","0","True","15","6"
"46.154%","0","True","13","14"
"0.000%","216","False","7","11"
"10.000%","432","False","10","10"
"100.000%","0","True","11","6"
"33.333%","162","False","9","7"
"11.111%","324","False","9","9"
"100.000%","0","True","4","16"
"45.455%","0","True","11","14"
"37.500%","0","True","16","15"
"0.000%","1080","False","11","13"
"30.000%","216","False","10","11"
"45.455%","162","False","11","8"
"100.000%","0","True","12","12"
"0.000%","675","False","11","9"
"27.273%","0","True","11","5"
"66.667%","0","True","7","10"
"16.667%","0","True","6","11"
"6.667%","2700","False","15","9"
"100.000%","0","True","9","6"
"11.111%","486","False","9","12"
"88.889%","0","True","10","16"
"83.333%","0","True","12","16"
"40.000%","108","False","10","12"
"33.333%","0","True","9","15"
"0.000%","1620","False","13","11"
"100.000%","0","True","11","12"
"28.571%","108","False","7","9"
"100.000%","0","True","13","7"
"15.385%","1215","False","13","8"
"42.857%","54","False","7","10"
"100.000%","0","True","8","4"
"0.000%","1944","False","13","10"
"0.000%","81","False","5","12"
"28.571%","0","True","10","15"
"20.000%","432","False","10","5"
"0.000%","54","False","4","18"
"100.000%","0","True","10","15"
"8.333%","648","False","12","6"
"28.571%","108","False","7","4"
"54.545%","108","False","11","14"
"100.000%","0","True","16","7"
"100.000%","0","True","4","10"
"50.000%","0","True","15","8"
"11.111%","486","False","9","8"
"15.385%","1080","False","13","7"
"69.231%","0","True","13","9"
"58.824%","0","True","17","14"
"100.000%","0","True","7","10"
"100.000%","0","True","10","13"
"100.000%","0","True","12","9"
"20.000%","324","False","10","9"
"100.000%","0","True","13","16"
"100.000%","0","True","13","13"
"60.000%","0","True","11","12"
"85.714%","0","True","8","10"
"16.667%","108","False","6","16"
"100.000%","0","True","12","12"
"66.667%","0","True","15","9"
"46.667%","0","True","15","12"
"75.000%","0","True","12","11"
"100.000%","0","True","11","9"
"100.000%","0","True","11","10"
"64.286%","0","True","14","10"
"30.000%","243","False","10","8"
"33.333%","216","False","9","9"
"100.000%","0","True","14","7"
"0.000%","1728","False","12","8"
"57.143%","0","True","10","15"
"11.111%","0","True","9","14"
"100.000%","0","True","7","7"
"14.286%","108","False","7","9"
"100.000%","0","True","8","10"
